asin	title	subtitle	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url
1478998997	Chaos	Charles Manson, the CIA, and the Secret History of the Sixties	Tom O'Neill, Dan Piepenbring	Kevin Stillwell			Biographies & Memoirs, True Crime, Murder, History, Americas, United States, Politics & Social Sciences, Politics & Government, Freedom & Security, Intelligence & Espionage, Politics & Social Sciences, Politics & Government, Political Science	975					2024-08-17T01:56:41Z	2019-06-25	https://m.media-amazon.com/images/I/417Eb2F1bLL._SL500_.jpg
1494546582	Trade Wars Are Class Wars	How Rising Inequality Distorts the Global Economy and Threatens International Peace	Matthew C. Klein, Michael Pettis	Bob Souer			Money & Finance, Economics, Economic History, Politics & Social Sciences, Politics & Government, International Relations, Trades & Tariffs, Politics & Social Sciences, Politics & Government, Public Policy, Economic, Politics & Social Sciences, Sociology	512					2024-07-14T12:56:59Z	2020-05-19	https://m.media-amazon.com/images/I/514yEuuQzdL._SL500_.jpg
1524779261	Atomic Habits	An Easy & Proven Way to Build Good Habits & Break Bad Ones	James Clear	James Clear			Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Relationships, Parenting & Personal Development, Personal Development, Personal Success	335					2024-07-29T13:04:59Z	2018-10-16	https://m.media-amazon.com/images/I/513Y5o-DYtL._SL500_.jpg
1526616971	The Anarchy	The Relentless Rise of the East India Company	William Dalrymple	Sid Sagar			History, Asia, India, History, Asia, South Asia, History, Military, Wars & Conflicts, History, Modern, 18th Century, Politics & Social Sciences, Politics & Government	943					2022-10-29T22:21:54Z	2019-10-17	https://m.media-amazon.com/images/I/517imywCFYL._SL500_.jpg
1541446488	Seapower States	Maritime Culture, Continental Empires, and the Conflict That Made the Modern World	Andrew Lambert	Julian Elfer			History, Military, Armed Forces, Naval Forces, History, World, Maritime History & Piracy, Money & Finance, Economics, Economic History, Politics & Social Sciences, Politics & Government, Political Science, History & Theory	823					2024-08-10T22:04:26Z	2018-11-27	https://m.media-amazon.com/images/I/518BzDwxyIL._SL500_.jpg
1549104780	Philip and Alexander	Kings and Conquerors	Adrian Goldsworthy	Neil Dickson			Biographies & Memoirs, Historical, Biographies & Memoirs, Military & War, History, Ancient, Greece, History, Europe, Greece	1236					2025-02-21T02:17:22Z	2020-10-13	https://m.media-amazon.com/images/I/51Z7wKOjdSL._SL500_.jpg
1549123696	The Kill Chain	Defending America in the Future of High-Tech Warfare	Christian Brose	Christian Brose			History, Military, Military Science, Money & Finance, International, Globalization, Politics & Social Sciences, Politics & Government, Public Policy, Military	584					2024-08-18T15:40:08Z	2020-04-21	https://m.media-amazon.com/images/I/612pOHxTeKL._SL500_.jpg
1549181246	The Verge	Reformation, Renaissance, and Forty Years That Shook the World	Patrick Wyman	Patrick Wyman			History, Europe, Renaissance, History, Europe, Western, History, Military	693					2024-03-12T13:23:26Z	2021-07-20	https://m.media-amazon.com/images/I/61xM5hDL5+L._SL500_.jpg
1603691766	The Ancient City	A Study on the Religion, Laws, and Institutions of Ancient Greece and Rome	Numa Denis Fustel de Coulanges	Charlton Griffin			History, Ancient, Greece, History, Ancient, Rome, History, Europe, Greece, History, World, Civilization, Religion & Spirituality, Religious Studies, History	938					2022-10-04T23:44:32Z	2021-04-07	https://m.media-amazon.com/images/I/51Us2ykpo1L._SL500_.jpg
1639295135	The Rise of Carry	The Dangerous Consequences of Volatility Suppression and the New Financial Order of Decaying Growth and Recurring Crisis	Tim Lee, Jamie Lee, Kevin Coldiron	Todd Belcher			Business & Careers, Management & Leadership, Money & Finance, Investing & Trading, Analysis & Strategy, Money & Finance, Personal Finance	449					2024-03-13T18:05:51Z	2021-07-20	https://m.media-amazon.com/images/I/41gkFltI3dS._SL500_.jpg
1663700419	Confidence Game	How Hedge Fund Manager Bill Ackman Called Wall Street's Bluff	Christine S. Richard	Caroline Shaffer			Business & Careers, Money & Finance, Economics, Economic Conditions, Money & Finance, Economics, Economic History, Money & Finance, Insurance, Money & Finance, Investing & Trading	810					2025-05-03T17:10:20Z	2020-07-09	https://m.media-amazon.com/images/I/51Ofkiao-eL._SL500_.jpg
1663706719	Inside the House of Money, Revised and Updated	Top Hedge Fund Traders on Profiting in the Global Markets	Steven Drobny, Niall Ferguson	James Langton			Money & Finance, Personal Finance	824					2024-03-13T18:06:33Z	2020-07-09	https://m.media-amazon.com/images/I/51swv50A5rL._SL500_.jpg
1663712662	Trading at the Speed of Light	How Ultrafast Algorithms Are Transforming Financial Markets	Donald MacKenzie	Jonathan Cowley			Money & Finance, Investing & Trading, Analysis & Strategy	689					2024-03-13T16:00:52Z	2021-05-25	https://m.media-amazon.com/images/I/51h+t8FycGS._SL500_.jpg
1666111724	The Caesars Palace Coup	How a Billionaire Brawl Over the Famous Casino Exposed the Power and Greed of Wall Street	Max Frumes, Sujeet Indap	Chris Kipiniak			Biographies & Memoirs, True Crime, Con Artists, Hoaxes & Deceptions, Business & Careers, Money & Finance, Corporate & Public Finance, Corporate	742					2024-12-04T11:01:46Z	2021-03-16	https://m.media-amazon.com/images/I/51NQd22AYaL._SL500_.jpg
1684578620	Black Wave	Saudi Arabia, Iran, and the Forty-Year Rivalry that Unraveled Culture, Religion, and Collective Memory in the Middle East	Kim Ghattas	Kim Ghattas, Nan McNamara			History, Middle East, History, World, Politics & Social Sciences, Politics & Government, International Relations, Politics & Social Sciences, Politics & Government, Political Science, Politics & Social Sciences, Politics & Government, World, Middle East, Religion & Spirituality, Religious Studies, Church & State, Religion & Spirituality, Religious Studies, Religious Intolerance, Religion & Spirituality, Spirituality	993					2024-07-31T22:11:13Z	2020-01-28	https://m.media-amazon.com/images/I/51rb7QTnOWL._SL500_.jpg
1705261124	My Life as a Quant	Reflections on Physics and Finance	Emanuel Derman	Peter Ganim			Biographies & Memoirs, Professionals & Academics, Business	690					2021-01-28T14:36:18Z	2020-07-09	https://m.media-amazon.com/images/I/51HqJu8x+7L._SL500_.jpg
1735803227	The Bomber Mafia	A Dream, a Temptation, and the Longest Night of the Second World War	Malcolm Gladwell	Malcolm Gladwell			History, Military, Armed Forces, Air Forces, History, Military, Wars & Conflicts, World War II, Science & Engineering, Science, Astronomy & Space Science, Aeronautics & Astronautics	314					2024-08-12T03:04:38Z	2021-04-27	https://m.media-amazon.com/images/I/51hwSCkCFiL._SL500_.jpg
1773057367	Railroader	The Unfiltered Genius and Controversy of Four-Time CEO Hunter Harrison	Howard Green	Howard Green			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers	835					2024-02-01T14:29:45Z	2020-12-11	https://m.media-amazon.com/images/I/51zGWMDUFjL._SL500_.jpg
1797115073	The 7 Habits of Highly Effective People	30th Anniversary Edition	Sean Covey, Jim Collins - foreword, Stephen R. Covey	Stephen R. Covey, Sean Covey			Business & Careers, Management & Leadership, Leadership, Business & Careers, Management & Leadership, Management, Business & Careers, Career Success, Motivation & Self-Improvement, Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Relationships, Parenting & Personal Development, Personal Development, Personal Success	907					2020-11-19T21:34:56Z	2020-05-19	https://m.media-amazon.com/images/I/418-i3CjhPL._SL500_.jpg
1797115782	Principles for Dealing with the Changing World Order	Why Nations Succeed or Fail	Ray Dalio	Jeremy Bobb, Ray Dalio			History, Modern, 21st Century, Money & Finance, Economics, Macroeconomics, Money & Finance, International, Economics	1008					2025-03-03T19:21:25Z	2021-11-30	https://m.media-amazon.com/images/I/41WQsvi-90L._SL500_.jpg
1799933377	The Black Banners (Declassified)	How Torture Derailed the War on Terror After 9/11	Ali H. Soufan	Fajer Al-Kaisi			Biographies & Memoirs, True Crime, Espionage, History, Americas, United States, History, Military, Wars & Conflicts, Afghan War, Politics & Social Sciences, Politics & Government, Freedom & Security, Intelligence & Espionage, Politics & Social Sciences, Politics & Government, War & Crisis, Terrorism	1154					2024-08-16T23:28:09Z	2020-09-15	https://m.media-amazon.com/images/I/419hRwGEioL._SL500_.jpg
197733105X	Devil Take the Hindmost	A History of Financial Speculation	Edward Chancellor	Nigel Patterson			Business & Careers, History, World, Money & Finance, Economics, Money & Finance, Investing & Trading	809					2024-09-30T02:35:03Z	2019-02-26	https://m.media-amazon.com/images/I/61Zdo8pMTtL._SL500_.jpg
1978643306	Why Honor Matters		Tamler Sommers	Tamler Sommers			Politics & Social Sciences, Law, Politics & Social Sciences, Philosophy, Ethics & Morality, Politics & Social Sciences, Philosophy, Politics & Social Sciences, Politics & Government, Freedom & Security, Politics & Social Sciences, Politics & Government, Ideologies & Doctrines, Conservatism & Liberalism, Politics & Social Sciences, Politics & Government, Ideologies & Doctrines, Politics & Social Sciences, Politics & Government, Political Science, History & Theory, Politics & Social Sciences, Politics & Government, Political Science, Philosophy, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Science & Engineering, Science, Biological Sciences, Evolution & Genetics, Evolution	418					2024-05-21T23:50:12Z	2018-11-14	https://m.media-amazon.com/images/I/41bxMa3PfFL._SL500_.jpg
1982626941	The Thirty-Year Genocide	Turkey's Destruction of Its Christian Minorities, 1894-1924	Benny Morris, Dror Ze'evi, Claire Bloom	Stefan Rudnicki			History, Europe, History, Middle East, Turkey, History, World, Historiography, History, Modern, 20th Century, Politics & Social Sciences, Politics & Government, War & Crisis, Genocide & War Crimes	1316					2024-05-23T13:31:32Z	2019-04-24	https://m.media-amazon.com/images/I/51fRBIHKGnL._SL500_.jpg
B002V02SHK	Life, the Universe, and Everything	The Hitchhiker's Guide to the Galaxy, Book 3	Douglas Adams	Martin Freeman	Hitchhiker's Guide to the Galaxy	3	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Humorous, Comedy & Humor, Literature & Fiction	348					2017-11-12T16:46:04Z	2006-07-03	https://m.media-amazon.com/images/I/51KVVr4ryVL._SL500_.jpg
B002V0K57A	The Prize	The Epic Quest for Oil, Money & Power	Daniel Yergin	Bob Jamieson			Business & Careers, History, Military, History, Modern, 20th Century, Money & Finance, Economics, Politics & Social Sciences, Politics & Government, International Relations, Diplomacy	171					2024-09-29T14:44:45Z	2008-09-26	https://m.media-amazon.com/images/I/51YC+VVc8oL._SL500_.jpg
B002V0KS9A	Master and Commander	Aubrey/Maturin Series, Book 1	Patrick O'Brian	Patrick Tull	Aubrey/Maturin	1	Literature & Fiction, Action & Adventure, Mystery, Thriller & Suspense, Thriller & Suspense, Literature & Fiction, Historical Fiction, Mystery, Thriller & Suspense, Thriller & Suspense, Suspense	1005					2024-09-08T19:24:25Z	2004-01-07	https://m.media-amazon.com/images/I/51fn1h2mP8L._SL500_.jpg
B002V0PN36	The Power of Now	A Guide to Spiritual Enlightenment	Eckhart Tolle	Eckhart Tolle			Relationships, Parenting & Personal Development, Personal Development, Religion & Spirituality, Spirituality, Meditation	457					2025-02-06T21:42:51Z	2000-12-31	https://m.media-amazon.com/images/I/51wk62SpJaL._SL500_.jpg
B002V0QMU4	Intellectuals		Paul Johnson	Frederick Davidson			History, Modern, Politics & Social Sciences, Philosophy	1097					2022-10-04T23:48:33Z	2009-04-23	https://m.media-amazon.com/images/I/616XOcvNoJL._SL500_.jpg
B002V0TFX0	The Age of Sacred Terror	Radical Islam's War Against America	Daniel Benjamin, Steven Simon	Jonathan Marosz			History, Middle East, History, Military, Politics & Social Sciences, Politics & Government, Freedom & Security, Intelligence & Espionage, Politics & Social Sciences, Politics & Government, Freedom & Security, National & International Security, Politics & Social Sciences, Politics & Government, Political Science, History & Theory, Politics & Social Sciences, Politics & Government, War & Crisis, Terrorism, Religion & Spirituality, Islam	1069					2024-05-22T01:06:09Z	2018-11-27	https://m.media-amazon.com/images/I/51Uo98N4dCL._SL500_.jpg
B002V0TLXY	The Age of Sacred Terror	Radical Islam's War Against America	Daniel Benjamin, Steven Simon	Philip Bosco			Biographies & Memoirs, True Crime, History, Americas, History, Military, History, World, Politics & Social Sciences, Politics & Government, Freedom & Security, Intelligence & Espionage, Politics & Social Sciences, Politics & Government, Freedom & Security, National & International Security, Politics & Social Sciences, Politics & Government, War & Crisis, Terrorism	373					2024-05-22T01:06:18Z	2002-10-04	https://m.media-amazon.com/images/I/51WmefJ7aqL._SL500_.jpg
B002V1AGC8	So Long, and Thanks for All the Fish		Douglas Adams	Martin Freeman	Hitchhiker's Guide to the Galaxy	4	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Humorous, Comedy & Humor, Literature & Fiction	279					2017-11-12T16:46:08Z	2006-09-22	https://m.media-amazon.com/images/I/41RF6aAL3nL._SL500_.jpg
B002V5A3PE	Reminiscences of a Stock Operator		Edwin Lefevre	Rick Rohan			Biographies & Memoirs, Professionals & Academics, Business, Money & Finance, Investing & Trading, Money & Finance, Personal Finance	592					2024-03-26T13:15:40Z	2007-01-29	https://m.media-amazon.com/images/I/51y9wc1JDHL._SL500_.jpg
B002V5BLIW	Hyperion		Dan Simmons	Marc Vietor, Allyson Johnson, Kevin Pariseau, Jay Snyder, Victor Bevine	Hyperion	1	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Space Opera	1244					2022-05-13T21:51:40Z	2008-12-22	https://m.media-amazon.com/images/I/51RIKu29fRL._SL500_.jpg
B002V5D5ZE	The Restaurant at the End of the Universe	The Hitchhiker's Guide to the Galaxy, Book 2	Douglas Adams	Martin Freeman	Hitchhiker's Guide to the Galaxy	2	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Humorous	347					2017-11-12T16:46:00Z	2006-07-03	https://m.media-amazon.com/images/I/51aWkuqcmzL._SL500_.jpg
B002V5H3AW	Mostly Harmless		Douglas Adams	Martin Freeman	Hitchhiker's Guide to the Galaxy	5	Science Fiction & Fantasy, Science Fiction, Humorous	393					2017-11-12T16:46:10Z	2006-09-21	https://m.media-amazon.com/images/I/41JxnOHRbKL._SL500_.jpg
B002V5J2SS	Under and Alone	The True Story of the Undercover Agent Who Infiltrated America's Most Violent Outlaw Motorcycle Gang	William Queen	Don Leslie			Politics & Social Sciences, Politics & Government, Freedom & Security	494					2023-12-05T18:11:03Z	2006-12-01	https://m.media-amazon.com/images/I/51zukcZjDpL._SL500_.jpg
B002V8H28C	Fooled by Randomness	The Hidden Role of Chance in Life and in the Markets	Nassim Nicholas Taleb	Sean Pratt	Incerto		Money & Finance, Investing & Trading, Money & Finance, Personal Finance, Politics & Social Sciences, Philosophy, Science & Engineering, Mathematics	603					2024-08-09T19:50:09Z	2008-01-07	https://m.media-amazon.com/images/I/51FHLHfTCBL._SL500_.jpg
B002V8KSTW	1776		David McCullough	David McCullough			Teen & Young Adult, History & Culture, Teen & Young Adult, Literature & Fiction	693					2024-05-26T23:45:55Z	2005-05-20	https://m.media-amazon.com/images/I/51rqMmAYUJL._SL500_.jpg
B002V8N7XG	Common Stocks and Uncommon Profits		Philip A. Fisher	George Guidall			Business & Careers, Management & Leadership, Leadership, Money & Finance, Economics, Money & Finance, Investing & Trading, Money & Finance, Personal Finance	175					2024-05-13T21:45:00Z	2001-04-27	https://m.media-amazon.com/images/I/51v0Qyoc2RL._SL500_.jpg
B002V8OGPO	Lords of Finance	The Bankers Who Broke the World	Liaquat Ahamed	Stephen Hoye			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers, Workplace & Organizational Behavior, Business Ethics, History, Americas, United States, Money & Finance, Banks & Banking, Money & Finance, Economics	1112					2025-01-09T15:16:33Z	2009-04-13	https://m.media-amazon.com/images/I/51irTKl4J7L._SL500_.jpg
B002VA9UF8	A History of the Middle East		Peter Mansfield	Richard Brown			History, World	1021					2024-07-31T22:11:51Z	2011-06-28	https://m.media-amazon.com/images/I/41nLi8f8fjL._SL500_.jpg
B0030URMV2	Intellectuals and Society		Thomas Sowell	Tom Weiner			Politics & Social Sciences, Politics & Government, Political Science, History & Theory, Politics & Social Sciences, Social Sciences, Politics & Social Sciences, Sociology	682					2024-10-17T15:46:55Z	2010-01-14	https://m.media-amazon.com/images/I/41M71ZCsiyL._SL500_.jpg
B0036JPZMK	Fooling Some of the People All of the Time	A Long Short Story	David Einhorn	L. J. Ganser			Money & Finance, Investing & Trading	800					2022-11-23T14:36:07Z	2010-02-01	https://m.media-amazon.com/images/I/412+bjzFudL._SL500_.jpg
B0036LPT4C	The Greatest Trade Ever	The Behind-the-Scenes Story of How John Paulson Defied Wall Street and Made Financial History	Gregory Zuckerman	Marc Cashman			Biographies & Memoirs, Professionals & Academics, Business, History, Modern, 21st Century, Money & Finance, Economics, Economic History, Money & Finance, Investing & Trading	700					2024-02-19T16:54:07Z	2009-11-03	https://m.media-amazon.com/images/I/51zz0IQxkeL._SL500_.jpg
B003D8W5VS	Foundation (Apple Series Tie-in Edition)		Isaac Asimov	Scott Brick	Foundation	3	Literature & Fiction, Classics, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction, Science Fiction & Fantasy, Science Fiction, Space Opera	517					2021-10-25T03:01:09Z	2010-04-20	https://m.media-amazon.com/images/I/51I5xPlDi9L._SL500_.jpg
B003E2P5II	13 Bankers	The Wall Street Takeover and the Next Financial Meltdown	Simon Johnson, James Kwak	Erik Synnestvedt			History, Americas, United States, Money & Finance, Banks & Banking, Money & Finance, Economics, Economic Conditions, Money & Finance, Economics, Economic History, Politics & Social Sciences, Politics & Government, Political Science	539					2024-10-14T13:14:03Z	2010-03-26	https://m.media-amazon.com/images/I/51WICQ2L0kL._SL500_.jpg
B003YM0QJQ	The Paradox of Choice	Why More is Less	Barry Schwartz	Ken Kliban			Business & Careers, Career Success, Motivation & Self-Improvement, Health & Wellness, Psychology & Mental Health, Psychology, Politics & Social Sciences, Anthropology, Politics & Social Sciences, Social Sciences	422					2024-07-29T13:04:51Z	2010-09-07	https://m.media-amazon.com/images/I/41rJvsNboFL._SL500_.jpg
B0042U8QW8	The Little Book That Still Beats the Market		Joel Greenblatt	Adam Grupper			Business & Careers, Money & Finance, Investing & Trading, Money & Finance, Personal Finance	231					2024-08-09T19:50:47Z	2010-09-14	https://m.media-amazon.com/images/I/51RrL1eOaKL._SL500_.jpg
B0049OUTAY	A Special Providence		Richard Yates	Jeff Woodman, Suzanne Toren			Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction, Literature & Fiction, Historical Fiction, Romance, Romantic Suspense	638					2025-01-23T21:40:52Z	2010-10-29	https://m.media-amazon.com/images/I/51iW8E-+89L._SL500_.jpg
B004GMOPFO	The Art of Possibility	Transforming Professional and Personal Life	Rosamund Stone Zander, Benjamin Zander	Rosamund Stone Zander, Benjamin Zander			Business & Careers, Management & Leadership, Leadership, Business & Careers, Career Success, Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	398					2019-06-10T14:59:45Z	2011-01-03	https://m.media-amazon.com/images/I/51zK4kStZ+L._SL500_.jpg
B004IM8EPE	The Wealth of Nations		Adam Smith	Gildart Jackson			History, World, Literature & Fiction, Classics, Money & Finance, Economics, Politics & Social Sciences, Politics & Government, Ideologies & Doctrines, Politics & Social Sciences, Politics & Government, Political Science, Philosophy	2203					2024-10-14T16:11:22Z	2011-01-11	https://m.media-amazon.com/images/I/51aIcwCgtaL._SL500_.jpg
B004LYPZQ0	The Asylum	The Renegades Who Hijacked the World's Oil Market	Leah McGrath Goodman	Robert Fass			Business & Careers, History, Americas, United States, Money & Finance, Economics, Money & Finance, Investing & Trading, Commodities, Money & Finance, Investing & Trading, Stocks, Politics & Social Sciences, Politics & Government, Political Science	994					2024-01-28T15:23:52Z	2011-02-15	https://m.media-amazon.com/images/I/513+kAs8HJL._SL500_.jpg
B004VA8ZVQ	Benjamin Franklin: An American Life		Walter Isaacson	Nelson Runger			Biographies & Memoirs, Historical, Biographies & Memoirs, Politics & Activism, Politicians, History, Americas, United States, Revolution & Founding	1480					2024-08-10T22:43:50Z	2011-04-07	https://m.media-amazon.com/images/I/61zcpKItWZL._SL500_.jpg
B0057HRCFM	The Triple Agent	The al-Qaeda Mole who Infiltrated the CIA	Joby Warrick	Sunil Malhotra			Biographies & Memoirs, True Crime, Espionage, History, Military, Wars & Conflicts, Afghan War, Politics & Social Sciences, Politics & Government, Freedom & Security, Intelligence & Espionage, Politics & Social Sciences, Politics & Government, Political Science, Politics & Social Sciences, Politics & Government, War & Crisis, Terrorism	427					2024-08-16T23:36:11Z	2011-07-19	https://m.media-amazon.com/images/I/51XvGjN1+UL._SL500_.jpg
B0057YH0ES	The Communist Manifesto		Karl Marx	Greg Wagland			Politics & Social Sciences, Politics & Government, Political Science	94					2024-05-16T00:29:18Z	2011-06-27	https://m.media-amazon.com/images/I/41oJta+o+NL._SL500_.jpg
B005ZTQ4RY	Ghost Wars	The Secret History of the CIA, Afghanistan, and bin Laden, from the Soviet Invasion to September 10, 2001	Steve Coll	Malcolm Hillgartner			History, Asia, Central Asia, History, Middle East, History, Military, Wars & Conflicts	1608					2024-07-31T22:12:09Z	2011-10-27	https://m.media-amazon.com/images/I/51MiElpJBXL._SL500_.jpg
B006P482NC	The Origins of Political Order: From Prehuman Times to the French Revolution		Francis Fukuyama	Jonathan Davis	Political Order	1	History, World, Politics & Social Sciences, Politics & Government, Political Science, Comparative, Politics & Social Sciences, Politics & Government, Political Science, History & Theory, Politics & Social Sciences, Social Sciences, Politics & Social Sciences, Sociology	1354					2025-05-14T13:45:49Z	2011-12-27	https://m.media-amazon.com/images/I/61gq5FFgFRL._SL500_.jpg
B0079KEF1O	Why Nations Fail	The Origins of Power, Prosperity, and Poverty	Daron Acemoglu, James A. Robinson	Dan Woren			Money & Finance, Economics, Economic History, Politics & Social Sciences, Politics & Government, Politics & Social Sciences, Politics & Government, Political Science, Comparative, Politics & Social Sciences, Politics & Government, Public Policy, Economic, Politics & Social Sciences, Social Sciences	1075					2024-10-14T11:36:44Z	2012-03-20	https://m.media-amazon.com/images/I/61-ytaG7QmL._SL500_.jpg
B0092POGIG	No Easy Day	The Firsthand Account of the Mission That Killed Osama Bin Laden	Mark Owen, Kevin Maurer	Holter Graham			Biographies & Memoirs, Military & War, Afghan & Iraq Wars, History, Military, Armed Forces, Special & Elite Forces, History, Military, Wars & Conflicts, Afghan War, History, Military, Wars & Conflicts, Iraq War, History, Military	410					2023-07-26T11:28:39Z	2012-09-04	https://m.media-amazon.com/images/I/41fv0vc4WhL._SL500_.jpg
B00AR2QOOM	Empire and Honor	Honor Bound, Book 7	W. E. B. Griffin, William E. Butterworth IV	Scott Brick	Honor Bound	7	Literature & Fiction, Action & Adventure, Mystery, Thriller & Suspense, Mystery, Literature & Fiction, Action & Adventure, Mystery, Thriller & Suspense, Thriller & Suspense, Literature & Fiction, Action & Adventure, War & Military, Literature & Fiction, Genre Fiction, War & Military, Mystery, Thriller & Suspense, Mystery, Historical, Mystery, Thriller & Suspense, Thriller & Suspense, Military, Mystery, Thriller & Suspense, Thriller & Suspense, Spies & Politics, Espionage	1144					2024-03-30T15:29:11Z	2012-12-31	https://m.media-amazon.com/images/I/51sx1qj4wZL._SL500_.jpg
B00CFRZGX2	Mr Midshipman Hornblower		C. S. Forester	Christian Rodska	Horatio Hornblower (chronological order)	1	Literature & Fiction, Genre Fiction, Sea Adventures, Literature & Fiction, Genre Fiction, War & Military, Literature & Fiction, Historical Fiction	498					2024-09-08T19:25:24Z	2013-05-01	https://m.media-amazon.com/images/I/51IqHPJBBCL._SL500_.jpg
